Age,Gender,HasKids,EduLvl,WorkStatus,AnnualIncome,Occupation,YrsJobHeld,MosJobHeld,CommunitySz,CntryOfRes,MaritalStat,NumSons,NumDaughters,DP1,DP2,DP3,DP4,DP5,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,AIP7,AIP8,AIP9,AIP10,AIP11,AIP12,AIP13,AIP14,AIP15,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,SelfLabeled,OthersLabel,DPMean,AIPMean,GPMean,SWLSMean
55,Female,1,ltuni,part-time,1e4,Fitness Instructor,23,0,Rural/Country,Canada,Married,0,0,3,3,2,1,1,1,1,2,3,3,1,3,4,1,2,4,2,2,1,1,3,1,2,2,1,1,3,2,3,1,1,3,1,1,3,4,2,3,2,2,3,3,4,4,3,1,0,2,2.07,2.05,3.4
20,Male,0,high,student,1e4,Residence Don,1,0,Large-City,Canada,Single,0,0,5,2,4,5,5,2,4,3,5,5,5,5,2,4,5,5,5,5,4,3,5,4,1,4,4,3,5,4,5,5,2,5,2,3,4,3,4,5,5,4,5,5,5,5,4,1,1,4.2,4.13,3.85,4.8
55,Male,1,deg,full-time,87500,engineer,2,4,Large-City,Canada,Married,0,1,4,3,2,2,2,2,2,4,3,2,4,4,3,2,2,2,3,4,2,3,2,1,2,2,1,1,2,2,2,2,2,3,4,2,3,4,4,2,3,2,4,4,4,4,4,1,1,2.6,2.8,2.3,4
19,Male,0,ltuni,student,1e4,NA,0,0,Large-City,Canada,Single,0,0,1,1,1,1,1,2,4,5,4,2,1,3,4,3,4,2,5,3,1,1,2,1,3,4,1,1,2,2,4,2,4,5,2,4,5,1,1,3,1,5,2,4,2,2,2,1,1,1,2.93,2.65,2.4
19,Male,0,lthigh,student,1e4,NA,0,7,Medium-Sized,Canada,Single,0,0,5,5,4,4,5,3,1,4,2,5,1,3,5,5,5,1,3,3,3,5,2,3,3,4,3,3,5,4,5,3,3,5,3,3,5,4,4,5,5,5,1,1,1,1,1,1,1,4.6,3.27,3.85,1
21,Male,0,ltuni,student,25e3,Software & IT,0,3,Large-City,Canada,Single,0,0,4,4,4,4,5,1,1,3,3,2,2,2,3,3,4,3,2,2,2,2,2,2,2,5,3,1,4,4,5,2,2,3,1,3,4,4,4,3,3,4,4,4,4,3,4,1,0,4.2,2.33,3.05,3.8
25,Female,0,ma,unemployed,1e4,Unemployed,0,0,Large-City,Canada,Married,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,5,2,1,1,1,1,1,1,1,1,2,1,1,1,5,2,1,1,1,1,1,2,2,2,1,1,4,3,3,3,4,0,0,1,1.47,1.45,3.4
28,Male,1,deg,full-time,67500,Regional Sales Manager,1,0,Large-City,Canada,Married,1,0,4,4,1,3,3,2,2,5,5,2,5,4,5,3,5,4,4,5,2,4,4,1,3,5,5,3,4,3,4,5,5,4,5,4,4,5,5,3,3,4,2,2,2,2,2,1,1,3,3.8,3.95,2
19,Female,0,high,full-time,15e3,Country Style Employee,0,8,Small Town,Canada,Single,0,0,5,5,5,3,3,2,2,5,2,3,4,5,3,2,3,4,4,4,2,4,4,4,3,3,4,5,5,5,5,5,3,4,4,3,5,5,5,4,4,4,3,4,1,1,1,1,1,4.2,3.27,4.2,2
45,Female,1,ltuni,full-time,15e4,Software & IT,14,0,Medium-Sized,Canada,Married,0,0,2,2,2,1,1,4,5,5,4,3,1,3,3,2,3,3,4,1,4,3,3,1,1,3,4,3,3,2,4,2,4,3,4,2,3,2,3,4,3,4,3,3,4,4,4,1,1,1.6,3.2,2.9,3.6
45,Female,1,deg,part-time,1e4,Facilitator,10,0,Medium-Sized,Canada,Married,0,1,4,5,4,3,4,1,2,1,5,4,3,5,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,5,3,3,4,4,1,4,3,4,3,5,5,3,3,3,3,3,3,1,1,4,3.53,3.55,3
37.5,Male,0,ltuni,full-time,67500,Business Owner,7,1,Large-City,Canada,Married,0,0,4,4,3,3,3,1,1,3,1,2,3,1,2,1,2,4,1,3,1,3,4,2,2,3,3,3,4,3,4,1,1,4,3,3,3,3,2,3,3,3,3,3,3,2,2,1,0,3.4,1.93,2.85,2.6
37.5,Male,0,phd,full-time,87500,Education,2,6,Large-City,Canada,Separated,0,0,4,3,3,4,4,5,5,4,2,5,4,4,5,5,5,2,2,4,2,4,5,3,4,4,4,4,4,3,5,3,4,5,2,4,4,5,4,5,5,4,1,1,2,1,2,1,0,3.6,3.87,4.05,1.4
23,Female,0,deg,full-time,25e3,self-employed Photographer,0,3,Large-City,Canada,Single,0,0,4,4,4,3,3,1,1,3,1,2,1,1,1,2,3,1,1,4,1,3,3,1,1,2,3,2,3,4,4,1,2,3,2,2,3,4,3,3,2,3,4,5,5,5,5,1,0,3.6,1.73,2.55,4.8
21,Female,0,ltuni,student,15e3,Research Assistant,0,3,Large Town,Canada,Single,0,0,5,5,3,5,3,1,3,5,4,4,4,5,5,4,4,5,3,5,5,5,5,3,5,5,5,1,5,3,5,5,5,5,1,1,4,5,5,5,5,5,2,4,3,2,2,1,1,4.2,4.13,4.15,2.6
20,Male,0,deg,part-time,15e3,Military,4,0,Large-City,Canada,Single,0,0,4,3,4,2,2,1,3,4,4,3,1,5,4,4,4,3,4,3,4,2,4,1,3,4,3,4,3,3,4,4,2,4,1,3,4,3,2,5,3,5,2,3,2,2,4,1,1,3,3.27,3.25,2.6
24,Male,0,deg,student,1e4,NA,NA,0,Large-City,Canada,Single,0,0,5,4,5,5,5,5,5,5,5,5,3,4,4,4,5,4,5,5,4,4,5,5,3,5,5,1,5,4,5,4,5,5,5,4,5,4,5,5,2,5,2,2,2,2,1,1,1,4.8,4.47,4.35,1.8
23,Male,0,deg,full-time,45e3,policy analyst,1,0,Medium-Sized,Canada,Single,0,0,2,3,2,1,1,2,4,4,4,1,2,5,4,3,4,3,5,3,4,4,4,2,4,4,2,4,4,3,5,3,5,2,3,4,4,5,4,4,4,4,4,4,4,4,2,1,1,1.8,3.47,3.7,3.6
45,Female,0,high,full-time,45e3,NA,2,5,Large-City,Canada,Married,0,0,3,4,3,3,3,1,2,3,5,3,4,3,5,3,5,3,4,4,3,3,4,1,3,5,3,3,3,3,4,3,2,4,3,2,4,3,2,4,3,2,2,3,3,3,2,1,0,3.2,3.4,3.05,2.6
28,Female,0,ma,full-time,45e3,Financial Advisor,1,0,Large-City,Canada,Married,0,0,2,3,3,3,3,2,3,3,3,2,4,2,4,1,3,3,2,3,3,4,3,2,3,3,3,2,3,2,3,4,4,2,2,4,4,4,4,4,4,5,3,4,3,4,4,1,0,2.8,2.8,3.25,3.6
22,Male,0,deg,student,1e4,NA,0,0,Medium-Sized,Canada,Single,0,0,3,3,3,2,3,1,3,5,4,4,1,4,5,3,4,5,3,4,4,2,4,2,3,3,3,2,3,3,4,4,4,2,3,3,5,4,3,4,2,4,2,3,2,2,3,1,1,2.8,3.47,3.25,2.4
67.5,Male,1,ma,retired,67500,retired,1,0,Large-City,Canada,Married,0,2,2,2,3,2,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,0,0,2,1.27,1.45,2.6
55,Male,0,deg,full-time,15e4,Science,23,0,Small City,Canada,Separated,0,0,4,4,4,4,4,3,1,3,3,3,4,3,3,3,4,2,2,3,3,4,4,2,3,2,3,2,4,4,4,3,3,4,2,3,4,4,3,3,4,4,3,4,2,3,2,1,1,4,2.93,3.25,2.8
45,Male,1,deg,part-time,25e3,Instructional Assistant Online,3,0,Medium-Sized,Canada,Married,1,1,3,2,4,4,4,3,2,2,5,4,4,5,3,5,5,4,4,3,4,5,5,4,2,5,4,3,4,4,4,2,4,4,3,3,3,5,5,4,4,3,1,1,2,3,1,1,1,3.4,3.87,3.75,1.6
32.5,Female,0,dip,full-time,35e3,Software & IT,1,0,Large-City,Canada,Single,0,0,4,4,4,3,4,2,4,3,5,4,4,5,4,4,5,3,5,3,5,5,4,2,2,5,5,3,4,4,4,5,4,5,3,4,5,3,2,4,4,5,1,3,2,2,1,1,1,3.8,4.07,3.85,1.8
16.5,Female,0,high,full-time,1e4,Server,0,5,Village,Canada,Single,0,0,3,4,4,3,3,1,2,5,4,4,5,4,5,5,1,1,5,3,1,1,4,1,2,2,3,2,4,4,4,1,2,4,1,3,4,4,4,5,5,5,1,3,1,1,1,1,1,3.4,3.13,3.2,1.4
20,Female,0,ltuni,student,1e4,NA,2,9,Large Town,Canada,Single,0,0,5,5,5,5,5,5,4,5,5,5,4,3,5,4,5,3,5,4,4,2,4,2,3,5,5,3,5,5,5,3,3,5,1,5,5,4,4,5,5,5,1,1,1,1,1,1,1,5,4.2,4.1,1
28,Female,0,deg,full-time,45e3,NA,2,2,Large-City,Canada,Single,0,0,4,4,2,3,2,2,2,2,3,2,3,2,4,2,3,3,3,4,3,4,4,2,1,3,5,2,3,4,4,2,4,4,2,2,4,3,3,5,4,4,3,3,2,3,1,1,0,3,2.8,3.25,2.4
32.5,Female,0,ma,unemployed,NA,NA,0,0,Large-City,Canada,Single,0,0,3,3,5,2,2,3,2,5,3,2,3,4,4,1,2,4,2,5,2,4,4,1,4,5,5,2,5,5,5,2,4,5,5,5,4,2,4,4,4,5,3,5,4,4,3,1,1,3,3.07,4,3.8
55,Male,1,deg,full-time,55e3,innkeeper,17,0,Rural/Country,Canada,Separated,1,1,4,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,3,3,3,1,1,3.2,2.6,3.05,3
45,Female,0,ma,part-time,35e3,Freelance Project Manager,2,0,Large-City,Canada,Single,0,0,3,3,3,2,2,1,1,4,3,2,1,1,4,1,3,1,1,1,1,2,3,1,1,1,1,2,3,3,3,1,1,2,1,3,3,2,1,3,2,2,1,3,3,3,2,1,0,2.6,1.8,1.95,2.4
24,Female,0,deg,unemployed,25e3,NA,0,0,Large-City,Canada,Single,0,0,5,5,4,5,5,3,3,3,4,5,5,5,4,3,4,2,4,2,4,5,5,3,3,2,5,3,5,3,5,3,4,3,3,4,4,5,5,4,5,4,2,3,2,2,2,1,1,4.8,3.73,3.9,2.2
55,Male,1,deg,full-time,15e4,Deputy Chieif Information Officer,1,10,Large-City,Canada,Married,1,1,2,2,3,1,1,1,1,1,2,3,2,1,2,2,1,4,1,2,1,3,3,1,2,3,1,2,3,2,3,1,4,3,2,2,3,5,2,4,3,3,4,4,4,4,3,0,0,1.8,1.8,2.6,3.8
22,Male,0,high,part-time,15e3,Driver,0,3,Medium-Sized,Canada,NA,0,0,3,3,4,3,2,4,2,5,3,4,2,4,3,2,5,2,3,3,2,4,5,1,2,4,1,2,4,3,4,2,2,3,4,5,4,4,4,4,4,4,2,1,3,2,2,1,1,3,3.2,3.3,2
45,Male,1,ltuni,full-time,25e3,selfemplyed renovator,23,0,Rural/Country,Canada,Separated,0,2,5,2,4,1,1,3,1,4,1,4,5,5,3,2,3,5,2,2,1,5,5,3,3,5,1,1,4,3,4,1,2,5,4,1,5,5,5,4,5,5,3,3,3,3,2,1,1,2.6,3.07,3.55,2.8
24,Female,0,ltuni,full-time,35e3,Accountant,1,0,Medium-Sized,Canada,Married,0,0,2,3,3,3,3,1,1,1,3,2,3,2,3,3,3,1,2,1,1,2,3,1,1,1,2,3,3,2,2,1,2,3,1,1,3,2,2,2,3,3,4,4,4,4,4,1,0,2.8,1.93,2.05,4
55,Male,0,deg,full-time,87500,Software & IT,2,0,Large-City,Canada,Single,0,0,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,1,3,2,1,1,1,1,2,1,1,3,1,1,3,3,2,2,3,4,3,1,2,5,4,4,4,4,0,0,1.8,1.67,1.9,4.2
55,Male,0,phd,full-time,15e4,Manager - Analytical and Environmental S,3,0,Large-City,Canada,Married,0,0,2,1,1,1,1,1,1,1,3,2,1,1,2,1,3,2,1,1,1,1,3,1,1,1,5,1,1,1,1,1,3,2,1,1,1,1,1,3,1,2,4,4,4,4,4,0,0,1.2,1.47,1.6,4
55,Female,1,ma,full-time,87500,engineer,28,0,Rural/Country,Canada,Married,1,1,3,3,5,3,3,1,2,5,5,4,5,4,5,4,4,2,5,3,5,3,3,1,3,5,3,3,4,3,4,5,5,4,3,3,5,4,4,4,3,1,3,3,3,3,1,1,1,3.4,3.8,3.5,2.6
28,Male,0,dip,full-time,25e3,Graphic Designer,4,0,Large-City,Canada,Single,0,0,2,3,2,2,2,2,1,3,2,3,1,2,2,3,3,1,3,4,1,2,2,1,3,3,1,2,2,2,4,1,3,3,2,3,3,2,1,3,3,4,3,4,4,3,5,1,1,2.2,2.2,2.4,3.8
16.5,Male,0,lthigh,student,1e4,Grease Monkey,1,1,Large-City,Canada,Single,0,0,4,3,2,1,1,3,1,1,3,3,4,4,4,2,4,1,1,3,1,2,3,1,1,4,4,3,4,3,4,1,3,4,3,3,4,3,2,4,4,5,4,4,4,4,4,1,1,2.2,2.47,3.15,4
23,Female,0,deg,student,25e3,NA,1,0,Large-City,Canada,Married,0,0,4,4,4,4,4,4,5,4,5,5,2,4,5,5,5,5,5,5,5,4,4,3,5,2,5,5,4,5,5,5,4,4,4,4,4,4,4,5,4,3,4,4,3,4,3,1,1,4,4.53,4.15,3.6
32.5,Male,0,ltuni,full-time,67500,Software & IT,1,7,Large-City,Canada,Married,0,0,5,5,3,3,3,4,2,3,3,5,5,3,5,5,5,5,3,4,2,5,5,3,3,4,4,4,5,3,5,2,3,5,5,4,5,5,4,5,1,5,2,3,3,3,2,1,1,3.8,3.93,4,2.6
55,Male,1,phd,full-time,55e3,Education,23,0,Large-City,Canada,Married,1,0,4,4,4,4,4,5,5,5,5,5,1,5,5,5,5,4,5,4,5,5,5,2,5,5,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4,4,1,3,2,1,1,1,1,4,4.6,4.2,1.6
21,Male,0,ltuni,student,1e4,NA,0,0,Medium-Sized,Canada,Single,0,0,4,3,3,2,2,1,1,4,2,2,4,3,3,2,4,3,4,4,2,1,4,1,3,4,2,2,4,3,4,3,3,4,3,3,4,4,4,4,3,3,1,3,3,2,1,1,1,2.8,2.67,3.25,2
55,Male,1,deg,full-time,25e4,Speaker Author Consultant,17,0,Large-City,Canada,Married,0,2,3,3,3,2,2,3,1,4,2,2,2,2,3,2,3,3,1,4,1,3,3,2,3,2,4,4,3,4,4,1,4,3,3,2,3,3,3,2,3,4,4,5,4,3,3,1,0,2.6,2.4,3,3.8
28,Female,0,dip,full-time,NA,NA,2,7,NA,Canada,NA,0,0,4,3,4,3,3,1,1,1,3,2,3,2,3,2,3,3,2,2,2,1,4,1,2,4,3,4,3,4,4,1,4,3,1,4,3,4,2,4,4,3,3,3,4,3,2,1,NA,3.4,2.07,3.1,3
37.5,Male,0,ltuni,full-time,67500,manager,5,10,Large-City,Canada,Divorced,0,0,2,3,2,2,2,4,1,4,1,2,2,3,4,2,2,1,1,1,1,4,3,1,2,4,3,2,4,3,4,1,1,3,4,2,4,4,2,4,3,4,2,2,2,2,5,1,0,2.2,2.2,2.9,2.6
55,Male,1,deg,full-time,15e4,engineer,30,0,Medium-Sized,Canada,Married,0,3,3,3,3,3,3,3,3,1,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2.87,2.85,3
55,Male,1,deg,full-time,25e4,Janitor,28,0,Medium-Sized,Canada,Married,0,3,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,5,5,5,5,5,1,1,5,3.13,3,5
55,Male,1,deg,full-time,15e4,manager,6,0,Large-City,Canada,Separated,0,1,3,2,2,2,1,1,2,3,2,2,4,2,3,2,2,4,2,3,2,3,3,1,2,1,1,2,2,4,3,1,5,2,1,2,3,3,2,3,2,2,4,4,4,4,4,0,0,2,2.47,2.25,4
45,Male,0,ma,full-time,15e4,vice-president,10,0,Large-City,Canada,Married,0,0,2,4,2,2,2,3,3,5,3,3,2,4,4,2,4,3,3,4,3,3,4,3,3,4,3,2,4,3,4,3,3,4,4,2,4,4,4,4,3,4,4,5,4,5,4,1,1,2.4,3.27,3.45,4.4
55,Female,0,deg,full-time,87500,Senior Human Resources Consultant,1,0,Large-City,Canada,Divorced,0,0,4,4,3,3,3,2,2,3,3,3,3,1,2,2,5,2,2,4,3,3,3,2,2,4,4,4,3,2,4,2,2,4,4,1,3,2,3,3,4,4,3,4,4,3,3,1,0,3.4,2.67,3,3.4
45,Male,0,deg,full-time,55e3,Software & IT,10,0,Village,Canada,Single,0,0,3,3,3,3,3,1,1,2,2,2,3,2,2,1,3,4,2,3,2,3,3,2,3,3,3,2,3,3,3,2,4,3,2,4,2,4,3,3,4,3,3,3,2,2,3,1,0,3,2.2,2.95,2.6
32.5,Male,0,ma,full-time,45e3,manager,0,6,Large-City,Canada,Married,0,0,3,5,2,5,3,4,4,4,3,5,2,3,4,2,3,4,4,4,5,5,2,2,4,4,5,4,3,4,5,3,4,5,4,4,4,5,5,4,2,4,2,2,2,2,2,0,1,3.6,3.73,3.85,2
24,Male,0,ltuni,student,1e4,NA,1,0,Medium-Sized,Canada,Single,0,0,4,3,3,2,2,2,2,3,3,2,3,3,4,3,3,2,2,3,2,2,3,2,3,3,2,2,3,3,4,2,4,3,2,2,3,3,3,4,4,4,4,3,3,3,3,1,1,2.8,2.6,2.95,3.2
25,Female,0,deg,full-time,35e3,Communications & Publishing,1,0,NA,Canada,Single,0,0,4,2,2,3,3,1,2,1,3,4,4,4,3,4,4,3,4,3,4,2,4,3,1,5,4,4,4,4,5,1,2,5,2,3,4,3,2,4,5,4,2,3,3,2,2,1,1,2.8,3.07,3.45,2.4
37.5,Male,0,ltuni,full-time,35e3,Artist,8,0,Medium-Sized,Canada,Single,0,0,3,4,4,3,3,4,2,5,4,4,3,4,4,4,5,5,3,4,1,5,5,4,5,5,4,5,4,5,5,5,4,4,4,4,5,5,5,3,5,3,3,2,2,1,2,1,1,3.4,3.8,4.45,2
55,Male,1,deg,full-time,87500,"Director,social Dvelopment",3,7,Large-City,Canada,Married,1,1,2,3,3,2,2,4,2,3,3,3,2,4,3,2,3,4,2,3,2,3,3,2,3,4,4,2,3,3,3,1,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,1,1,2.4,2.87,3.05,4
25,Male,0,deg,full-time,67500,Attorney,0,11,Large-City,Canada,Single,0,0,1,1,1,1,1,1,1,5,4,2,1,4,5,1,2,5,3,4,4,3,4,1,1,4,1,1,3,1,4,5,4,4,2,2,4,5,5,2,4,4,4,5,4,5,5,1,1,1,3,3.05,4.6
37.5,Female,0,phd,full-time,NA,NA,0,0,Small City,Canada,Single,0,0,4,4,3,1,1,1,2,2,4,2,1,4,4,2,3,2,3,2,4,2,4,1,1,1,3,1,3,3,3,2,4,4,2,2,3,2,3,4,3,4,3,3,3,4,4,1,0,2.6,2.53,2.65,3.4
67.5,Male,1,ma,full-time,87500,Education,23,0,Small Town,Canada,Married,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,2,1,1,2,1,3,2,2,1,1,3,1,1,2,2,1,2,1,1,3,4,3,4,3,0,0,1.2,1.27,1.65,3.4
45,Male,0,dip,full-time,15e4,Software & IT,0,9,Large-City,Canada,Married,0,0,5,5,3,3,3,2,2,2,5,4,1,3,4,4,5,4,4,1,3,4,5,2,1,5,1,3,4,4,4,5,4,5,1,2,4,3,3,5,4,2,2,5,3,3,2,1,1,3.8,3.2,3.35,3
55,Male,1,ma,part-time,67500,Software & IT,17,0,Large-City,Canada,Married,1,2,2,2,3,2,3,1,1,3,4,3,2,2,3,2,3,2,3,2,2,2,4,2,3,2,3,3,3,3,4,4,2,4,4,4,3,4,3,4,4,4,2,2,4,3,3,1,1,2.4,2.33,3.35,2.8
22,Female,0,deg,full-time,25e3,Training Coordinator,0,3,Large-City,Canada,Single,0,0,4,5,5,5,5,2,1,1,1,5,5,5,5,4,5,5,1,3,1,5,1,5,3,1,5,5,3,4,5,1,1,5,5,5,5,5,5,4,5,5,2,2,2,1,1,1,1,4.8,3.27,3.9,1.6
55,Female,1,phd,full-time,15e4,Education,NA,0,Large-City,Canada,Married,0,1,2,2,3,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,3,2,4,3,2,2,1,1,2,1,4,2,3,2,2,2,2,4,5,5,5,4,0,0,1.8,1.4,2.2,4.6
32.5,Female,0,ma,unemployed,45e3,Statistician,2,0,Large-City,Canada,Married,0,0,5,5,5,2,2,1,3,3,4,4,4,4,4,2,4,3,3,3,3,2,5,5,5,4,2,3,3,4,5,5,2,4,4,4,4,4,4,4,4,5,3,4,4,3,3,1,1,3.8,3.13,4,3.4
21,Male,0,deg,student,1e4,NA,0,0,Medium-Sized,Canada,Single,0,0,4,4,3,3,3,3,2,3,3,3,4,4,4,3,3,3,2,4,3,3,3,3,3,3,3,3,4,3,4,4,2,4,4,3,4,4,4,3,3,4,3,4,3,3,2,1,1,3.4,3.13,3.4,3
45,Male,0,ma,part-time,67500,Attorney,17,0,Large-City,Canada,Married,0,0,2,3,2,2,2,2,2,3,3,3,2,3,4,3,3,2,3,3,2,2,3,2,2,2,2,2,3,4,3,3,2,3,2,2,4,3,2,3,3,3,3,4,4,4,3,1,1,2.2,2.67,2.65,3.6
19,Female,0,ltuni,student,15e3,Student,2,0,Large-City,Canada,Single,0,0,2,2,2,1,1,1,1,2,4,1,2,4,4,4,3,1,2,2,3,2,3,1,2,5,5,3,5,4,5,1,1,4,1,1,5,4,4,3,3,4,4,5,4,5,5,1,1,1.6,2.4,3.2,4.6
45,Male,1,deg,unemployed,1e4,Unemployed,10,0,Large Town,Canada,Married,0,1,5,5,5,4,4,2,1,5,4,4,2,2,4,4,4,4,2,2,2,4,4,1,3,4,5,1,4,5,1,1,2,4,5,4,4,2,2,5,1,5,4,4,3,2,2,1,1,4.6,3.07,3.15,3
37.5,Female,1,ma,part-time,15e3,Computer Instructor (Continuing Educatio,17,0,Medium-Sized,Canada,Married,0,1,4,4,5,5,4,1,5,4,5,4,3,5,4,4,5,4,5,4,5,3,4,3,1,2,3,5,4,5,4,3,5,3,2,3,5,4,3,5,3,4,1,5,2,4,1,1,1,4.4,4.07,3.55,2.6
24,Male,0,deg,student,1e4,NA,17,0,Large-City,Canada,Single,0,0,4,5,5,4,4,1,1,1,5,4,5,5,3,3,3,3,1,2,2,3,3,2,1,3,1,1,2,2,2,1,3,2,4,2,4,5,4,5,3,3,3,2,2,1,1,1,1,4.4,2.8,2.65,1.8
55,Female,1,ma,full-time,67500,Attorney,17,0,Large-City,Canada,Single,0,1,5,3,2,2,2,5,2,5,3,5,4,5,5,3,4,5,3,5,2,5,4,4,4,4,5,4,4,4,5,2,3,5,5,4,5,5,5,5,5,1,4,4,4,4,2,1,1,2.8,4.07,4.15,3.6
23,Female,0,deg,part-time,1e4,clerk,7,2,Large-City,Canada,Single,0,0,2,4,2,1,1,1,5,5,5,1,5,3,4,1,3,4,5,3,5,3,3,2,1,5,2,1,3,1,4,2,1,4,1,3,4,3,2,3,2,2,2,2,2,3,5,1,0,2,3.53,2.45,2.8
37.5,Male,1,deg,full-time,87500,Software & IT,17,0,Small City,Canada,Married,0,2,4,4,5,3,3,3,3,5,4,5,4,4,5,5,5,5,4,5,2,5,5,3,4,4,4,3,5,4,5,2,4,5,5,4,5,5,4,5,5,5,2,2,1,1,1,1,1,3.8,4.27,4.3,1.4
55,Female,0,dip,full-time,NA,Healthcare,30,0,Medium-Sized,Canada,NA,0,0,2,3,2,2,3,1,1,1,2,2,3,2,2,2,3,1,2,1,3,1,3,2,2,1,3,3,2,2,2,2,2,2,1,1,1,2,2,2,1,2,3,5,5,5,3,0,0,2.4,1.8,1.9,4.2
20,Female,0,ltuni,student,NA,NA,2,7,Small City,Canada,Single,0,0,5,5,3,3,3,2,2,5,5,5,5,5,5,5,5,4,4,4,3,5,5,3,4,4,4,2,5,5,5,5,4,5,1,2,5,4,4,5,5,5,2,1,2,2,1,1,0,3.8,4.27,4.1,1.6
24,Male,0,high,full-time,25e3,NA,5,0,Large-City,Canada,Single,0,0,3,3,3,2,2,2,1,2,1,3,5,4,4,4,3,4,1,3,1,4,4,2,2,4,4,2,4,3,3,3,3,3,3,3,5,3,3,3,4,4,3,3,4,3,2,1,1,2.6,2.8,3.25,3
28,Female,0,deg,student,NA,NA,0,0,Large-City,Canada,Single,0,0,4,5,2,2,3,2,2,2,2,3,5,4,4,3,5,3,3,2,2,5,5,2,2,3,3,2,2,3,5,2,2,5,2,2,4,3,3,4,3,3,3,3,4,4,2,1,1,3.2,3.13,3,3.2
16.5,Male,0,lthigh,student,1e4,na,0,0,Medium-Sized,Canada,Single,0,0,4,4,5,3,3,3,2,4,4,4,3,4,4,4,4,2,2,3,2,2,5,3,2,4,3,2,4,3,4,2,2,4,3,2,4,3,4,4,4,4,1,2,2,2,1,1,1,3.8,3.13,3.3,1.6
20,Female,0,ltuni,student,15e3,NA,0,0,Large Town,Canada,Single,0,0,5,4,3,4,4,3,4,5,4,5,1,5,4,4,4,3,3,4,4,4,3,3,3,4,4,2,4,4,5,4,4,5,4,4,5,4,5,4,5,5,2,3,3,2,3,1,1,4,3.8,4.05,2.6
20,Female,0,ltuni,student,1e4,NA,0,0,Small City,Canada,Single,0,0,5,4,5,4,4,1,3,5,5,5,5,5,3,5,5,4,4,3,4,3,4,2,1,5,3,3,3,3,4,4,5,5,3,5,5,4,4,5,5,3,1,1,1,1,1,1,1,4.4,4,3.8,1
23,Male,0,deg,student,NA,NA,0,0,Medium-Sized,Canada,Single,0,0,3,3,3,3,3,3,2,2,3,3,1,3,4,3,4,5,3,4,4,4,3,4,2,5,4,1,3,3,4,1,4,4,3,3,4,3,3,3,4,3,3,4,4,4,4,1,1,3,3.2,3.2,3.8
37.5,Male,0,deg,full-time,15e4,engineer,3,7,Large-City,Canada,Single,0,0,5,3,4,3,4,2,3,3,5,5,4,4,5,5,5,3,5,1,3,4,5,3,4,5,3,4,4,5,5,5,4,4,4,3,4,4,4,5,5,5,1,1,1,1,1,1,1,3.8,3.8,4.25,1
20,Male,0,ltuni,student,1e4,NA,0,0,Large-City,Canada,Single,0,0,4,2,2,2,2,1,2,2,5,1,5,5,4,4,5,3,3,2,4,4,4,1,1,5,3,3,4,3,5,5,5,5,1,3,4,5,3,4,5,5,4,5,4,4,2,1,1,2.4,3.33,3.7,3.8
20,Female,0,ltuni,student,15e3,Server,0,9,Large-City,Canada,Single,0,0,3,2,2,1,2,3,1,2,1,2,1,3,4,2,3,2,1,4,1,4,3,2,2,2,4,2,3,3,4,2,2,4,3,3,3,2,2,2,3,2,4,5,4,5,4,1,1,2,2.27,2.65,4.4
32.5,Female,0,dip,full-time,45e3,Editor,5,0,Large-City,Canada,Married,0,0,4,3,3,2,2,2,1,1,2,1,3,2,5,1,4,5,1,3,1,1,5,1,3,5,1,4,4,2,4,1,1,4,2,2,4,2,2,4,4,4,4,4,4,4,4,1,1,2.8,2.2,2.95,4
28,Female,0,ma,full-time,45e3,Program Manager and Acting Director,1,4,Large-City,Canada,Single,0,0,5,5,5,3,3,1,5,5,1,4,2,4,4,2,4,4,5,4,1,2,4,3,5,5,1,4,4,5,5,5,5,5,2,4,4,4,4,4,5,5,3,4,5,4,5,1,0,4.2,3.2,4.15,4.2
