CntryOfRes,Age,Gender,HasKids,EduLvl,WorkStatus,AnnualIncome,Occupation,YrsJobHeld,MosJobHeld,CommunitySz,MaritalStat,NumSons,NumDaughters,DP1,DP2,DP3,DP4,DP5,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,AIP7,AIP8,AIP9,AIP10,AIP11,AIP12,AIP13,AIP14,AIP15,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,SWLS1,SWLS2,SWLS3,SWLS4,SWLS5,SelfLabeled,OthersLabel,DPMean,AIPMean,GPMean,SWLSMean,HDI,hdi_group
India,23,Male,0,ma,student,NA,NA,0,0,Large-City,Single,0,0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,1,0,2.2,3.4,3.05,2.6,0.624,medium
India,23,Male,0,ma,student,NA,NA,0,0,NA,Single,0,0,3,2,2,1,1,1,1,3,1,1,4,1,3,4,1,4,4,4,2,1,1,2,2,2,1,5,1,2,1,5,4,4,2,3,2,2,1,2,2,2,1,5,5,3,2,0,0,1.8,2.33,2.3,3.2,0.624,medium
India,23,Male,0,ma,student,NA,NA,0,0,Large-City,Single,0,0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,1,0,2.2,3.4,3.05,2.6,0.624,medium
India,23,Male,0,ma,student,NA,NA,0,0,Large-City,Single,0,0,3,2,2,2,2,3,2,3,3,4,5,4,4,3,4,4,4,3,2,3,4,2,2,4,3,4,3,2,3,3,3,4,3,3,3,3,2,4,2,4,2,3,4,2,2,1,0,2.2,3.4,3.05,2.6,0.624,medium
India,21,Female,0,ma,student,NA,NA,0,0,Rural/Country,Single,0,0,2,3,2,2,1,4,3,2,5,3,5,2,4,2,4,1,3,3,4,4,2,1,1,5,4,4,3,2,4,4,1,2,4,4,4,1,1,4,5,4,4,5,5,5,3,1,0,2,3.27,3,4.4,0.624,medium
India,22,Female,0,ma,student,NA,NA,0,0,Village,Single,0,0,3,3,4,2,1,1,2,2,3,3,3,3,3,2,3,2,3,5,4,3,3,2,2,2,5,2,2,3,3,4,3,3,2,4,3,4,3,3,3,3,4,3,4,4,4,0,0,2.6,2.8,2.95,3.8,0.624,medium
India,21,Female,0,ma,student,NA,NA,0,0,Small Town,Single,0,0,3,4,5,2,2,4,3,4,3,3,2,4,4,2,3,4,3,4,4,2,4,3,4,2,2,3,2,4,2,2,4,2,1,3,4,5,3,3,4,4,2,3,2,3,3,1,0,3.2,3.27,3.05,2.6,0.624,medium
India,21,Male,0,ma,student,NA,NA,0,0,Village,Single,0,0,3,1,5,1,1,3,3,4,4,1,1,5,2,1,1,2,3,2,3,1,3,1,2,5,1,5,1,1,3,3,5,1,1,3,3,5,1,2,3,1,4,5,5,4,4,0,0,2.2,2.4,2.5,4.4,0.624,medium
India,22,Male,0,ma,student,NA,NA,0,0,Rural/Country,Single,0,0,2,4,2,3,3,2,3,5,3,2,4,3,3,4,2,1,4,4,3,4,4,1,3,3,3,1,4,3,2,2,5,1,2,3,3,4,2,4,4,4,2,3,4,1,4,1,1,2.8,3.13,2.9,2.8,0.624,medium
India,20,Male,0,ma,student,NA,NA,0,0,Rural/Country,Single,0,0,4,2,4,3,3,2,2,5,1,2,4,4,4,3,3,3,3,4,2,3,4,2,2,5,2,2,3,2,4,2,3,4,2,3,2,4,4,3,5,4,3,4,2,2,1,1,0,3.2,3,3.1,2.4,0.624,medium
India,23,Male,0,ma,student,NA,NA,0,0,Large-City,Single,0,0,4,3,2,3,3,4,3,3,4,2,4,2,4,3,2,4,4,3,2,2,3,3,4,4,2,3,4,3,2,2,4,2,4,4,3,2,2,4,2,3,2,2,4,3,2,1,1,3,3.07,3,2.6,0.624,medium
India,22,Male,0,ma,student,NA,NA,0,0,Rural/Country,Single,0,0,3,3,4,2,4,3,2,1,2,2,3,2,3,2,2,4,3,4,3,3,4,2,2,4,2,3,3,3,3,4,3,3,2,3,4,5,2,4,5,3,4,4,4,3,3,1,1,3.2,2.6,3.2,3.6,0.624,medium
India,21,Female,0,ma,student,NA,NA,0,0,Village,Single,0,0,2,2,4,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,3,3,2,3,2,2,4,4,4,5,5,0,0,2.4,2.13,2.3,4.4,0.624,medium
India,22,Female,0,ma,student,NA,NA,0,0,Village,Single,0,0,3,3,4,3,3,1,2,2,2,2,3,3,2,3,3,2,3,3,2,3,3,2,2,3,2,2,2,3,3,1,5,1,2,3,3,2,2,3,3,2,3,3,4,3,2,1,0,3.2,2.4,2.45,3,0.624,medium
India,23,Male,0,ma,student,NA,NA,0,0,Small Town,Single,0,0,1,2,3,4,5,3,3,4,3,4,2,2,2,3,5,1,2,3,2,1,2,3,2,1,4,3,2,5,2,3,5,2,3,2,1,4,3,4,1,4,1,2,3,4,5,1,1,3,2.67,2.8,3,0.624,medium
India,22,Female,0,ma,student,15e4,NA,0,4,Small Town,Single,0,0,2,3,3,2,2,4,3,3,3,3,4,4,1,5,5,1,4,4,3,3,5,5,5,5,3,3,3,2,4,4,4,2,3,2,2,2,2,4,1,5,3,3,2,3,3,1,1,2.4,3.33,3.3,2.8,0.624,medium
India,22,Female,0,ma,student,15e4,NA,0,4,Small Town,Single,0,0,2,2,3,3,1,5,5,5,5,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,4,2,3,2,5,3,4,4,4,3,3,3,3,4,2,1,2,3,3,1,1,2.2,3.67,3.35,2.2,0.624,medium
India,22,Female,0,ma,student,15e4,NA,0,2,Small Town,Single,0,0,1,2,3,3,3,3,3,2,2,3,3,3,3,3,3,4,5,4,3,4,4,3,3,3,4,3,2,3,4,4,4,2,3,3,3,3,2,3,3,3,1,2,3,3,3,1,1,2.4,3.2,3.1,2.4,0.624,medium
India,37.5,Male,1,ma,full-time,1e4,NA,13,0,Village,Married,0,2,4,3,4,3,3,1,1,2,2,3,3,4,4,2,3,2,2,3,2,4,4,4,4,1,5,2,4,4,4,3,2,4,2,2,4,2,3,5,4,4,4,4,3,4,2,1,1,3.4,2.53,3.35,3.4,0.624,medium
India,32.5,Female,0,ma,unemployed,1e4,NA,5,2,Village,Single,0,0,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,4,3,3,2,2,2,1,1,5,4.8,4.75,2.4,0.624,medium
India,22,Female,0,ma,NA,NA,NA,0,0,Large Town,Single,0,0,5,4,5,5,4,1,1,1,3,4,5,5,1,5,5,5,3,3,5,5,3,1,2,2,4,4,5,5,5,1,1,3,3,4,2,5,4,3,5,5,3,1,3,3,1,1,1,4.6,3.47,3.35,2.2,0.624,medium
India,22,Female,0,ma,NA,NA,NA,0,0,Small Town,Single,0,0,2,3,2,4,2,3,4,3,2,1,1,2,3,2,3,4,4,5,2,3,2,3,4,5,2,5,4,3,2,3,5,1,4,3,5,2,3,5,1,5,3,3,4,5,1,0,0,2.6,2.8,3.35,3.2,0.624,medium
India,22,Female,0,ma,student,NA,NA,NA,0,Rural/Country,Single,0,0,3,3,4,2,2,2,1,2,2,2,1,1,1,1,1,2,2,3,1,2,2,1,2,5,3,1,2,2,3,2,4,2,2,3,2,2,1,2,1,3,5,5,5,5,4,1,0,2.8,1.6,2.25,4.8,0.624,medium
India,22,Female,0,deg,student,1e4,NA,0,1,NA,Single,0,0,4,3,4,2,2,2,2,3,2,2,3,3,3,2,3,4,3,4,2,3,3,4,3,2,3,1,2,3,3,3,3,4,1,3,4,4,4,2,4,3,3,4,4,4,3,0,0,3,2.73,2.95,3.6,0.624,medium
India,21,Female,0,ma,NA,NA,NA,0,0,Village,Single,0,0,5,4,4,5,5,1,2,2,4,2,4,3,3,2,4,1,3,3,3,2,2,2,2,5,3,4,4,4,4,1,2,4,4,3,3,4,3,3,2,3,3,4,4,5,4,1,1,4.6,2.6,3.1,4,0.624,medium
India,23,Male,0,ma,NA,NA,NA,0,0,Rural/Country,NA,0,0,3,3,4,4,4,1,3,3,2,3,3,4,3,2,3,4,3,3,2,4,5,3,1,4,2,1,5,2,2,3,3,2,2,3,2,3,2,3,5,5,3,4,4,3,3,1,1,3.6,2.87,2.9,3.4,0.624,medium
India,55,Female,1,phd,full-time,67500,NA,0,0,Small Town,Married,0,2,3,2,4,2,2,1,1,1,2,2,2,1,1,1,1,3,2,2,2,1,1,1,1,3,1,2,2,1,1,1,4,2,1,1,1,1,1,2,1,3,3,3,3,4,2,0,0,2.6,1.53,1.55,3,0.624,medium
India,20,Male,0,lthigh,student,67500,NA,12,2,Village,Single,0,0,3,4,2,2,3,3,3,3,3,4,4,2,4,3,3,3,3,3,2,3,4,2,2,3,4,3,3,3,4,4,3,3,2,3,4,3,2,4,5,3,2,2,1,2,1,1,1,2.8,3.07,3.2,1.6,0.624,medium
India,37.5,Female,0,ma,full-time,67500,NA,7,0,Village,Single,0,0,3,1,2,2,2,2,1,1,1,3,1,2,5,2,5,3,1,3,1,4,5,1,1,4,2,1,5,1,5,2,3,5,3,1,5,1,1,5,5,5,4,5,5,5,3,1,0,2,2.33,3.05,4.4,0.624,medium
India,45,Male,0,deg,full-time,87500,NA,0,0,Small Town,Single,0,0,2,4,4,1,1,1,1,1,5,1,2,4,2,1,1,5,3,5,1,1,5,1,2,1,2,1,3,2,5,1,5,5,3,1,5,4,2,3,5,2,4,4,4,4,4,1,1,2.4,2.27,2.9,4,0.624,medium
India,21,Female,0,ma,student,1e4,NA,0,0,Village,Single,0,0,2,3,4,2,1,1,1,3,3,1,4,4,2,5,3,3,4,3,2,1,3,1,2,1,1,2,2,1,4,4,1,3,1,4,3,4,2,2,2,2,3,5,4,4,1,0,0,2.4,2.67,2.25,3.4,0.624,medium
India,32.5,Male,1,ma,full-time,NA,NA,9,0,Village,Married,1,0,3,4,2,3,3,3,2,2,2,4,4,4,4,2,4,1,2,4,2,3,3,2,2,2,3,2,2,2,3,1,2,3,2,3,3,4,3,4,4,4,4,4,4,4,2,1,1,3,2.87,2.7,3.6,0.624,medium
India,45,Male,1,deg,part-time,87500,NA,1,2,Village,Married,1,0,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,5,5,5,5,1,5,1,5,5,5,5,5,4,5,5,5,1,2,1,1,1,1,1,5,4.4,4.45,1.2,0.624,medium
India,28,Male,0,ma,full-time,25e3,NA,1,0,Village,Single,0,0,5,5,5,5,5,1,1,1,5,5,5,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,1,5,5,1,5,1,1,1,5,5,1,5,1,2,2,3,4,2,1,1,5,3.13,3,2.6,0.624,medium
Iran,23,Female,0,deg,part-time,NA,NA,0,8,Village,Single,0,0,3,4,4,4,4,3,5,5,4,5,4,5,4,5,5,3,4,4,5,4,4,4,2,5,4,5,3,4,5,3,5,4,3,4,5,4,4,5,4,4,2,3,2,3,3,1,1,3.8,4.33,4.05,2.6,0.774,high
Iran,19,Male,0,ltuni,part-time,15e3,Dish Washer,0,0,Small City,Single,0,0,3,4,4,4,3,3,2,3,2,3,4,3,3,3,3,3,2,3,3,1,3,3,2,3,2,3,3,3,3,2,3,3,2,2,3,4,3,2,4,3,4,4,4,4,4,1,0,3.6,2.73,2.8,4,0.774,high
Ireland,45,Male,1,dip,unemployed,15e3,Disability Allowance,7,0,Large-City,Separated,0,1,5,4,5,4,4,5,3,5,1,5,1,4,5,5,5,2,5,4,4,4,5,1,5,5,4,4,5,4,5,4,3,4,4,5,3,4,4,5,5,5,3,3,3,3,4,1,1,4.4,3.87,4.2,3.2,0.923,very high
Ireland,67.5,Male,1,high,retired,45e3,retired,10,6,Rural/Country,Married,1,7,4,5,5,4,4,5,1,5,4,4,2,5,5,5,5,2,1,1,1,4,5,4,2,1,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,4,4,4,1,1,1,4.4,3.33,4.45,3,0.923,very high
Ireland,28,Male,0,deg,full-time,55e3,Healthcare,3,0,Large-City,Single,0,0,4,3,4,4,4,3,2,3,4,4,5,4,4,5,5,4,2,4,2,4,5,2,4,5,4,3,4,4,4,5,2,4,3,4,4,5,5,5,5,4,3,4,3,3,1,1,0,3.8,3.67,4.05,2.8,0.923,very high
Ireland,22,Male,0,ma,part-time,15e3,Sales,3,0,Small City,Single,0,0,4,3,4,3,3,2,3,3,4,3,5,4,5,5,5,3,3,4,3,2,4,4,3,5,5,4,5,5,5,4,4,5,3,2,4,4,4,5,4,4,1,1,1,2,1,1,0,3.4,3.6,4.15,1.2,0.923,very high
Ireland,32.5,Female,0,ma,student,35e3,NA,4,0,Village,Single,0,0,4,4,2,3,3,1,1,4,3,4,2,4,4,4,4,3,2,4,2,4,4,2,3,2,4,3,4,3,4,2,3,4,2,3,4,3,4,4,4,4,2,3,2,2,2,1,1,3.2,3.07,3.3,2.2,0.923,very high
Ireland,28,Male,0,phd,full-time,35e3,Science,1,0,Large-City,Married,0,0,3,2,3,1,1,1,1,2,1,1,5,2,3,2,2,2,1,2,1,1,2,1,1,1,3,1,3,3,3,1,1,3,3,2,3,4,2,3,4,1,5,5,5,5,5,1,0,2,1.8,2.25,5,0.923,very high
Ireland,55,Female,1,deg,part-time,25e3,NA,5,6,Small Town,Married,0,0,3,2,2,1,1,1,1,3,1,2,4,1,3,1,2,2,1,2,1,3,5,1,1,2,2,3,5,3,5,1,3,4,3,2,3,2,1,4,5,4,4,4,4,5,4,1,0,1.8,1.87,2.95,4.2,0.923,very high
Ireland,45,Male,0,ltuni,part-time,55e3,NA,5,0,NA,Married,0,0,5,2,2,1,1,1,1,5,1,1,1,1,4,5,3,1,1,5,1,1,5,1,5,5,2,4,5,4,5,1,1,5,3,4,4,2,2,5,1,5,1,1,1,3,3,1,0,2.2,2.13,3.45,1.8,0.923,very high
Ireland,45,Male,0,ma,full-time,15e4,NA,7,0,Village,Married,0,0,2,1,2,1,1,1,1,1,1,3,2,1,2,1,2,3,1,2,1,1,2,1,2,2,2,1,1,2,3,1,1,3,1,2,3,4,2,3,3,3,3,4,3,4,4,0,0,1.4,1.53,2.1,3.6,0.923,very high
Ireland,45,Female,1,deg,full-time,67500,NA,6,0,Village,Separated,0,3,3,3,3,2,2,1,1,1,4,3,5,3,2,3,2,3,3,2,2,2,3,1,2,3,5,2,2,2,3,2,3,3,2,4,2,3,2,4,3,3,2,2,1,1,2,1,0,2.6,2.47,2.7,1.6,0.923,very high
Ireland,25,Male,0,ma,full-time,35e3,NA,1,2,Village,Single,0,0,4,4,4,3,3,2,4,4,5,4,3,5,4,2,4,4,4,4,4,4,4,3,3,5,2,4,4,4,4,4,4,4,3,3,4,5,4,5,5,5,2,3,2,1,3,1,1,3.6,3.8,3.95,2.2,0.923,very high
Ireland,32.5,Female,0,ltuni,full-time,35e3,NA,1,0,NA,Married,0,0,5,5,5,5,5,1,1,1,5,4,5,5,4,3,5,1,1,1,5,3,5,1,2,3,2,3,5,5,5,4,5,5,1,1,4,2,1,4,4,3,3,3,3,3,3,1,1,5,3,3.25,3,0.923,very high
Ireland,23,Female,0,deg,full-time,25e3,NA,0,7,Large Town,Single,0,0,4,5,5,2,2,1,1,5,4,2,4,5,4,1,3,4,2,3,2,4,4,3,1,5,4,3,4,4,5,1,2,4,2,4,4,3,2,4,5,4,4,4,3,3,3,1,1,3.6,3,3.4,3.4,0.923,very high
Ireland,24,Female,0,deg,full-time,35e3,NA,1,0,Village,Single,0,0,4,4,4,4,4,4,1,2,2,2,3,4,2,2,2,3,2,4,2,3,3,3,3,4,5,4,4,4,4,2,3,3,4,4,4,4,4,4,4,3,2,3,2,2,2,1,1,4,2.53,3.65,2.2,0.923,very high
Ireland,67.5,Male,1,ma,retired,35e3,NA,0,0,Small Town,Divorced,1,1,2,2,4,2,2,3,3,5,3,3,1,2,3,2,2,3,4,3,2,1,3,3,3,4,2,2,2,4,3,2,4,2,3,3,3,2,2,3,2,4,4,4,4,4,4,0,0,2.4,2.67,2.8,4,0.923,very high
Ireland,23,Female,0,deg,student,1e4,NA,2,0,Large-City,Single,0,0,5,5,5,4,4,1,2,2,1,4,4,3,4,2,4,5,2,5,1,3,5,3,4,5,3,5,4,4,4,2,4,4,1,4,5,4,4,5,5,5,1,1,2,1,1,1,0,4.6,2.87,4,1.2,0.923,very high
Ireland,37.5,Male,0,phd,full-time,55e3,NA,0,6,Village,Single,0,0,3,4,3,3,3,2,3,2,3,4,4,4,4,4,4,2,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4,5,2,4,4,3,3,4,3,5,2,3,2,3,2,1,1,3.2,3.4,3.55,2.4,0.923,very high
Ireland,23,Female,0,ma,student,15e3,NA,1,0,Village,Single,0,0,4,5,3,5,5,5,5,5,5,4,3,5,5,3,5,4,5,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,1,1,4.4,4.6,4.7,3.8,0.923,very high
Ireland,37.5,Female,1,lthigh,full-time,NA,NA,6,0,Rural/Country,Widowed,1,2,5,5,3,2,3,3,3,4,5,5,5,5,4,3,5,2,4,5,5,5,5,3,3,2,5,3,5,3,5,3,3,5,4,3,4,5,5,4,5,4,3,4,3,4,3,1,1,3.6,4.2,3.95,3.4,0.923,very high
Israel,32.5,Female,0,ltuni,student,25e3,Student,4,4,Medium-Sized,Single,0,0,3,3,4,3,3,1,3,4,3,5,5,3,4,4,4,2,3,2,2,4,4,2,2,3,2,2,3,4,4,4,3,4,2,2,4,5,3,4,5,4,2,2,2,2,2,1,0,3.2,3.27,3.3,2,0.899,very high
Israel,55,Female,1,deg,retired,87500,NA,0,0,Small City,Married,0,0,4,3,2,1,1,2,1,5,4,2,2,4,5,2,3,2,3,1,2,3,3,1,3,1,2,2,4,4,4,2,1,3,2,3,4,5,5,2,3,3,5,5,5,4,4,1,0,2.2,2.73,2.85,4.6,0.899,very high
Israel,45,Male,1,phd,full-time,15e4,NA,0,0,Large Town,Married,0,4,2,2,2,2,2,2,2,2,3,2,2,1,3,3,2,2,2,3,2,4,3,2,3,2,2,3,4,2,3,2,2,3,2,3,3,2,2,4,3,2,4,5,4,5,3,1,0,2,2.33,2.6,4.2,0.899,very high
Israel,32.5,Male,0,deg,full-time,15e4,NA,2,0,Small Town,Married,0,0,3,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,1,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,2,3,3,5,4,1,1,4.6,4.8,4.4,3.4,0.899,very high
Israel,28,Female,0,ltuni,student,NA,NA,0,0,Rural/Country,Single,0,0,2,3,3,1,1,2,2,5,2,3,1,2,3,3,3,5,3,2,3,3,3,2,2,3,2,4,3,4,3,2,1,3,2,3,3,4,5,5,2,4,2,2,3,1,3,1,1,2,2.8,3,2.2,0.899,very high
Israel,25,Male,0,ma,student,1e4,NA,1,0,Small Town,Single,0,0,4,4,4,4,4,3,1,3,3,3,4,4,3,5,4,3,3,5,1,3,4,1,1,5,1,3,5,5,5,5,2,4,4,3,4,3,4,5,5,5,4,4,3,3,1,1,0,4,3.2,3.7,3,0.899,very high
Israel,20,Male,0,ltuni,full-time,1e4,NA,1,2,Village,Single,0,0,4,4,4,4,3,3,3,2,4,4,4,5,5,1,5,5,4,3,3,5,4,3,2,3,4,3,4,4,4,4,2,4,3,3,4,3,3,3,5,3,2,3,3,3,3,1,1,3.8,3.73,3.4,2.8,0.899,very high
Israel,21,Male,0,high,student,1e4,NA,0,1,Village,Single,0,0,3,4,3,2,2,3,3,2,3,5,4,5,4,4,4,2,3,4,2,4,4,4,4,4,4,2,4,2,5,5,4,4,4,2,4,4,5,3,5,4,1,3,3,2,1,1,1,2.8,3.47,3.85,2,0.899,very high
Israel,55,Female,1,deg,full-time,NA,Journalist,23,0,Medium-Sized,Married,1,2,3,4,4,3,3,1,2,4,4,3,2,4,3,2,4,3,3,2,3,2,3,3,3,2,3,2,3,3,4,4,4,3,2,2,4,4,3,4,4,3,3,4,3,3,3,1,1,3.4,2.8,3.15,3.2,0.899,very high
Israel,67.5,Male,1,deg,retired,35e3,NA,0,0,Medium-Sized,Married,1,2,3,1,1,1,1,1,1,3,2,1,1,1,2,1,2,3,1,3,1,3,2,1,1,1,1,1,1,3,3,1,1,2,1,1,3,3,1,2,1,3,5,5,5,5,5,0,0,1.4,1.73,1.65,5,0.899,very high
Israel,67.5,Female,0,phd,full-time,NA,lecturer,28,0,Medium-Sized,NA,0,0,4,3,3,2,3,1,1,3,3,3,3,1,3,4,4,2,1,4,1,5,5,3,4,1,5,3,3,3,4,3,4,4,3,3,4,5,5,3,5,4,4,4,4,5,4,1,0,3,2.6,3.7,4.2,0.899,very high
Israel,24,Male,0,deg,student,1e4,Student,1,6,Medium-Sized,Single,0,0,4,4,4,3,3,2,2,5,4,4,4,5,4,2,5,5,3,4,1,2,5,1,3,3,3,2,4,5,4,2,4,4,2,4,5,3,3,5,4,4,4,5,4,5,4,1,1,3.6,3.47,3.5,4.4,0.899,very high
Israel,28,Female,0,ma,student,15e3,NA,2,7,Small City,Single,0,0,2,2,1,1,1,3,2,5,3,2,1,1,2,2,1,3,3,4,1,3,4,1,2,3,4,2,2,1,4,1,4,4,3,1,1,2,4,4,4,4,5,5,5,4,4,0,0,1.4,2.4,2.75,4.6,0.899,very high
Israel,25,Female,0,phd,student,NA,NA,1,8,Small City,Single,0,0,2,2,1,1,1,2,2,4,3,1,1,2,2,2,2,3,2,4,2,2,3,2,2,1,4,2,3,2,4,2,2,4,2,2,3,4,2,2,4,2,4,4,4,4,4,1,0,1.4,2.27,2.6,4,0.899,very high
Israel,67.5,Female,1,high,full-time,1e4,Education,30,0,Medium-Sized,Married,0,1,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,1,5,3,5,5,5,2,5,2,5,2,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,4,4,4,3,1,1,4.6,4.6,4.45,3.8,0.899,very high
Israel,37.5,Male,0,ma,part-time,NA,NA,0,0,NA,Single,0,0,4,4,5,4,4,4,5,5,5,5,4,5,3,5,5,4,5,1,5,5,5,5,5,5,3,4,4,4,4,2,4,4,4,1,4,5,4,4,5,4,3,4,4,3,3,1,1,4.2,4.4,4,3.4,0.899,very high
Israel,45,Female,1,ma,full-time,NA,NA,NA,0,Village,NA,1,0,4,5,3,4,4,1,1,4,4,3,1,3,3,4,4,4,3,4,2,2,4,3,3,3,3,4,4,4,4,2,3,4,1,3,4,5,4,5,5,5,2,3,2,2,1,1,1,4,2.87,3.65,2,0.899,very high
Israel,28,Female,0,deg,student,1e4,NA,0,3,Small Town,Single,0,0,4,5,3,2,2,2,4,5,5,5,5,5,5,1,5,3,5,3,5,5,5,3,2,2,3,3,5,3,5,4,5,5,3,2,5,3,4,5,4,5,2,3,2,2,1,1,1,3.2,4.2,3.8,2,0.899,very high
Israel,28,Male,0,ltuni,full-time,25e3,NA,2,0,Village,Divorced,0,0,5,5,5,3,3,4,2,4,3,5,2,5,4,3,5,4,4,4,4,5,5,3,3,4,3,3,4,3,4,2,5,5,4,4,4,5,5,4,5,4,4,5,5,3,3,1,1,4.2,3.87,3.95,4,0.899,very high
Italy,45,Female,0,deg,full-time,55e3,Financial Controller,7,0,Small City,Single,0,0,5,5,5,3,3,1,4,4,5,5,4,5,5,4,5,5,5,2,5,4,5,3,4,5,4,2,4,5,4,5,5,2,4,4,5,5,4,5,4,2,1,2,1,2,1,1,1,4.2,4.2,4.05,1.4,0.887,very high
Italy,45,Male,0,phd,full-time,67500,Attorney,17,9,Large-City,Married,0,0,3,4,4,1,1,2,3,5,4,3,3,4,4,2,2,4,4,3,4,2,4,5,4,2,4,4,4,4,4,2,2,5,2,4,5,5,4,4,4,5,4,4,3,2,3,1,1,2.6,3.27,3.85,3.2,0.887,very high
Italy,67.5,Female,1,ltuni,retired,NA,houswife,30,0,Large-City,Married,0,4,5,4,4,1,1,4,2,3,3,2,2,3,3,2,1,1,2,5,1,2,4,4,1,1,3,4,2,4,2,1,3,3,3,4,4,1,2,2,3,3,4,5,2,4,2,1,1,3,2.4,2.7,3.4,0.887,very high
Italy,25,Female,0,ma,student,1e4,NA,0,4,Medium-Sized,Single,0,0,5,4,4,2,3,2,4,5,4,3,1,5,3,3,3,3,4,5,5,1,5,2,3,3,4,4,4,5,4,3,1,4,4,3,4,4,3,3,5,5,3,3,4,3,1,1,1,3.6,3.4,3.65,2.8,0.887,very high
Italy,28,Female,0,dip,student,NA,NA,0,0,Small Town,Single,0,0,5,5,5,5,5,4,4,5,4,3,5,5,3,3,4,5,5,5,3,4,4,4,4,4,4,2,2,5,3,4,4,4,2,4,4,4,4,3,4,4,3,4,3,2,2,1,1,5,4.13,3.65,2.8,0.887,very high
Italy,80,Male,1,ltuni,retired,25e4,NA,0,0,Medium-Sized,Married,0,5,4,4,4,2,2,1,1,3,2,2,1,1,2,2,2,1,1,3,2,1,1,1,2,1,3,1,4,3,1,1,5,1,4,5,2,4,3,4,4,3,5,4,4,5,5,1,1,3.2,1.67,2.65,4.6,0.887,very high
Italy,55,Female,0,ma,full-time,87500,manager,17,0,Large-City,Widowed,0,0,2,2,2,1,2,2,3,3,3,3,1,1,3,2,3,2,3,4,1,3,3,3,4,5,4,3,2,2,2,2,4,2,3,2,3,3,3,3,3,3,4,3,4,4,4,0,0,1.8,2.47,2.95,3.8,0.887,very high
Italy,28,Female,0,deg,full-time,1e4,Healthcare,1,0,Medium-Sized,Single,0,0,5,5,5,2,3,1,2,2,2,2,2,1,3,3,2,4,2,4,1,1,2,2,3,5,1,2,2,4,2,4,4,2,2,3,4,5,4,3,2,2,2,1,1,4,2,1,1,4,2.13,2.9,2,0.887,very high
Italy,25,Male,0,deg,student,1e4,NA,5,6,Large-City,Single,0,0,2,3,4,4,3,2,2,2,3,3,3,1,2,4,4,4,2,5,1,2,3,1,3,3,4,2,3,3,4,1,5,2,3,2,2,4,2,3,3,2,2,2,2,3,1,0,1,3.2,2.67,2.75,2,0.887,very high
Italy,24,Male,0,dip,student,1e4,NA,NA,0,Small Town,Single,0,0,1,4,1,1,2,1,3,3,3,2,1,4,4,4,2,4,4,2,5,2,3,1,1,4,3,3,3,1,4,2,1,4,2,2,3,5,5,2,3,2,4,3,3,4,2,1,1,1.8,2.93,2.7,3.2,0.887,very high
Italy,55,Male,1,phd,full-time,67500,NA,10,0,Large-City,Married,0,2,5,5,2,4,4,1,1,2,2,2,4,1,2,3,2,4,1,5,1,3,3,1,2,3,4,1,3,2,2,5,4,1,1,2,3,2,1,3,3,3,4,1,1,2,2,1,1,4,2.27,2.45,2,0.887,very high
Italy,45,Male,1,deg,full-time,25e4,Financial Advisor,23,0,Large-City,Married,1,1,5,5,5,5,5,1,1,1,5,4,4,2,2,2,3,1,1,1,1,2,2,3,1,5,1,1,4,1,1,1,5,1,1,1,2,3,2,4,5,1,1,1,1,1,1,0,0,5,2.07,2.25,1,0.887,very high
Italy,55,NA,1,deg,full-time,15e4,manager,4,0,Small City,Married,0,2,3,2,3,2,2,2,3,3,2,3,4,4,4,3,4,3,3,2,5,2,3,2,3,4,2,2,2,3,2,4,4,2,2,3,4,3,3,3,2,3,3,3,3,3,2,1,1,2.4,3.13,2.8,2.8,0.887,very high
